Precision@10,HitRate@10,avg_similarity,num_relevant,MAP@10,MRR@10,NDCG@10,relevance_scores,similarity_scores,user_id,CategoryCoverage,UniqueCategories,Entropy,GiniIndex,IntraListSimilarity,Novelty,Serendipity
0.2,1,0.20630695994269535,2,0.625,1.0,0.798875133209097,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[np.float64(0.2543016282480485), np.float64(0.1560279930087832), np.float64(0.19284121903041893), np.float64(0.18226991533182454), np.float64(0.19738622809442297), np.float64(0.22150095454286844), np.float64(0.20811401004442806), np.float64(0.2609066244584803), np.float64(0.15799030758363627), np.float64(0.2317307190840423)]",AH63LG3AU2KFDH5QSMVAQHSWFE4A,1.8,18,4.039148671903071,0.9336734693877551,0.5296819089316809,0.8444444444444444,0.3971574991243584
0.1,1,0.2149228124144913,1,1.0,1.0,1.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[np.float64(0.32988492436007477), np.float64(0.23384643901616675), np.float64(0.2463604430796842), np.float64(0.2297785470277744), np.float64(0.19152397672502944), np.float64(0.1560279930087832), np.float64(0.22285529650296595), np.float64(0.18226991533182454), np.float64(0.1688207061041439), np.float64(0.18785988298846606)]",AHBC5B7MKT6NE47XJRDWC2AEP5ZA,1.6,16,3.863465189601646,0.9248,0.5782050688296064,0.84375,0.35588947317501957
0.2,1,0.22416086563234433,2,1.0,1.0,1.0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[np.float64(0.33040459884343626), np.float64(0.2829563165232533), np.float64(0.19407813357621914), np.float64(0.21993187810210776), np.float64(0.19284121903041893), np.float64(0.19038928255282306), np.float64(0.16032627071842448), np.float64(0.19505087455802023), np.float64(0.23698105924579138), np.float64(0.2386490231729491)]",AETIQYG552CC2HCB5KRYKK4HO6WQ,1.8,18,4.084962500721156,0.9375,0.4538092873298411,0.8666666666666667,0.47336528431413766
0.2,1,0.22152179640157704,2,0.30952380952380953,0.3333333333333333,0.5009414894150618,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[np.float64(0.24137056729830672), np.float64(0.23721131757554742), np.float64(0.2511224130995084), np.float64(0.22285529650296595), np.float64(0.21852691202129906), np.float64(0.18507800817762982), np.float64(0.2755936010104387), np.float64(0.19732060608579016), np.float64(0.19827935925581816), np.float64(0.18785988298846606)]",AE2MVXG6535JPWVNELHKUI3JB4SA,1.8,18,4.014146761422729,0.9300411522633745,0.5459459351053296,0.85,0.3859459551604698
0.1,1,0.20284314980948293,1,0.25,0.25,0.43067655807339306,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[np.float64(0.23384643901616675), np.float64(0.1560279930087832), np.float64(0.2463604430796842), np.float64(0.26108708187558105), np.float64(0.19606500698849716), np.float64(0.23326074744223146), np.float64(0.15457409415585324), np.float64(0.15500431402728826), np.float64(0.20993546316891937), np.float64(0.18226991533182454)]",AFPCNVUXO5OEO2W6BYADTBOKIHMQ,1.9,19,4.1619781796795525,0.9408284023668639,0.4522786296970796,0.8631578947368421,0.47277002489304715
0.3,1,0.23479102769085922,3,0.9166666666666666,1.0,0.9560428006070079,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 0]","[np.float64(0.32988492436007477), np.float64(0.2511224130995084), np.float64(0.2463604430796842), np.float64(0.30662966381279966), np.float64(0.22219517086933308), np.float64(0.19038928255282306), np.float64(0.19702730918012132), np.float64(0.18226991533182454), np.float64(0.2240105370125016), np.float64(0.19802061760992146)]",AF4DIVUTE35I4MXSYB3MA2MLEAIA,1.5,15,3.6845608142862893,0.90625,0.5679863958913818,0.84,0.3628914274512393
0.2,1,0.2143208873614709,2,0.5833333333333333,0.5,0.6871075855488666,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[np.float64(0.23384643901616675), np.float64(0.2511224130995084), np.float64(0.2649537827562546), np.float64(0.19038928255282306), np.float64(0.18226991533182454), np.float64(0.23721131757554742), np.float64(0.19549156418742625), np.float64(0.184404270883581), np.float64(0.17374134118380277), np.float64(0.2297785470277744)]",AHCGME54IFEEEMLBE7RJKW7OHXYQ,2.0,20,4.182005814760214,0.9387755102040816,0.49359557871237913,0.86,0.4355078023073539
0.2,1,0.2263057011125625,2,1.0,1.0,0.9659331319399119,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[np.float64(0.2829563165232533), np.float64(0.32988492436007477), np.float64(0.19038928255282306), np.float64(0.1914673758025611), np.float64(0.2297785470277744), np.float64(0.18226991533182454), np.float64(0.2240105370125016), np.float64(0.20540214913565397), np.float64(0.19305152436299156), np.float64(0.23384643901616675)]",AETQ73HI2ALIW6SRVT3QVROHVC7Q,1.0,10,3.1863929342238193,0.8809073724007561,0.6071292617378409,0.77,0.3025104684618625
0.4,1,0.228030698760436,4,0.7708333333333333,1.0,0.8852386633831559,"[1, 0, 1, 1, 0, 1, 0, 0, 0, 0]","[np.float64(0.25422050648597094), np.float64(0.2251429089641227), np.float64(0.2511224130995084), np.float64(0.2647888458722195), np.float64(0.18506610954549108), np.float64(0.25071513684330493), np.float64(0.23326074744223146), np.float64(0.18226991533182454), np.float64(0.2366930948395653), np.float64(0.19702730918012132)]",AFSIJMA6DADL43C54JIDUINXHWWA,2.6,26,4.664497779200462,0.9591836734693877,0.5152121471324904,0.8923076923076924,0.43257993025100855
0.1,1,0.21260026463048592,1,1.0,1.0,1.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[np.float64(0.2829563165232533), np.float64(0.2463604430796842), np.float64(0.19732060608579016), np.float64(0.20540214913565397), np.float64(0.23326074744223146), np.float64(0.19038928255282306), np.float64(0.22219517086933308), np.float64(0.18226991533182454), np.float64(0.19702730918012132), np.float64(0.1688207061041439)]",AGHNTMQMULMVOJGT33PS5XYLAZSA,1.7,17,3.91829583405449,0.9236111111111112,0.5307248868698689,0.8588235294117648,0.4030245089235244
