user_id,query,recommendation_count,rec_1_title,rec_1_id,rec_1_categories,rec_1_description,rec_2_title,rec_2_id,rec_2_categories,rec_2_description,rec_3_title,rec_3_id,rec_3_categories,rec_3_description,rec_4_title,rec_4_id,rec_4_categories,rec_4_description,rec_5_title,rec_5_id,rec_5_categories,rec_5_description,rec_6_title,rec_6_id,rec_6_categories,rec_6_description,rec_7_title,rec_7_id,rec_7_categories,rec_7_description,rec_8_title,rec_8_id,rec_8_categories,rec_8_description,rec_9_title,rec_9_id,rec_9_categories,rec_9_description,rec_10_title,rec_10_id,rec_10_categories,rec_10_description
AH63LG3AU2KFDH5QSMVAQHSWFE4A,Recommend songs for gym or workout with energetic rythm and fast speed,10,Ummagumma,B000002UA5,"CDs & Vinyl, Rock, Progressive, Progressive Rock",nan,His Best: The Chess 50th Anniversary Collection,B000005KQT,"CDs & Vinyl, Today's Deals in Music, Blues, Blues General, CDs $7 - $10","Product Description, Acknowledged by many as the greatest blues harmonica player ever, Little Walter",Cheek to Cheek,B00MU79IL8,"CDs & Vinyl, Universal Music Group",Deluxe edition includes three bonus tracks. The legendary Tony Bennett and superstar Lady Gaga met i,Dark Side Of The Moon,B000002U82,"CDs & Vinyl, Rock, Progressive, Progressive Rock","Product description, DARK SIDE OF THE MOON was a benchmark record. It turned the musical world on it",X&Y,B0006L16N8,"CDs & Vinyl, Indie & Alternative, Alternative Rock, British Alternative, Britpop","Product Description, Coldplay's massively anticipated new album, X&Y, is the follow-up to 2002's 16-",Greatest Hits - Chapter One,B009LXEBD4,"CDs & Vinyl, Pop, Vocal Pop",This GREATEST HITS compilation features three new tracks from Kelly Clarkson as well as fourteen of ,Ray Of Light,B000002NJS,"CDs & Vinyl, Today's Deals in Music, Dance & DJ, Dance General, CDs $7 - $10","Product description, Ray Of Light CD Maverick, 9362-46847-2, 1998, 13 Track, Amazon.com, Never under",Re-Load,B000002HRE,"CDs & Vinyl, Metal, Thrash & Speed Metal","Product description, No Description Available., Genre:, Popular Music, Media Format:, Compact Disk, ",Heaven & Earth,B00JQHON74,"CDs & Vinyl, Pop",HEAVEN & EARTH is the first YES album featuring new singer Jon Davison along with bassist Chris Squi,Dangerously In Love,B000099T2L,"CDs & Vinyl, Today's Deals in Music, Dance & DJ, Dance General, CDs $7 - $10","Product description, The perfect timing of Beyonce Knowles’ career moves continues with the release "
AHBC5B7MKT6NE47XJRDWC2AEP5ZA,Recommend songs for gym or workout with energetic rythm and fast speed,10,Greatest Hits,B000002B30,"CDs & Vinyl, Classic Rock, Album-Oriented Rock (AOR)","1995 collection from the Rock icon, his first 'best of' collection. Features his best known hits as ",Hybrid Theory,B00004Z459,"CDs & Vinyl, Indie & Alternative, Alternative Rock, American Alternative",When the first track from a band's debut album gets added to major rock stations four weeks before i,Confessions on a Dance Floor,B000B8QEZG,"CDs & Vinyl, Pop, Adult Contemporary","Product Description, On, Confessions of a Dance Floor, , Madonna, the most popular and significant f",Clockwork Angels,B007I2BZIE,"CDs & Vinyl, Rock, Progressive, Progressive Rock","Clockwork Angels, is, Rush's, 20th studio record and first in 5 years.  This complex concept album i",Come Away with Me,B00005YW4H,"CDs & Vinyl, Pop, Singer-Songwriters",nan,His Best: The Chess 50th Anniversary Collection,B000005KQT,"CDs & Vinyl, Today's Deals in Music, Blues, Blues General, CDs $7 - $10","Product Description, Acknowledged by many as the greatest blues harmonica player ever, Little Walter",Stripped,B00006CXXU,"CDs & Vinyl, Pop, Adult Contemporary","Product Description, Features guest appearances by Eve, Redman, and Dave Navarro. Track production b",Dark Side Of The Moon,B000002U82,"CDs & Vinyl, Rock, Progressive, Progressive Rock","Product description, DARK SIDE OF THE MOON was a benchmark record. It turned the musical world on it",Best of The Animals,B000003BDD,"CDs & Vinyl, Classic Rock, British Invasion","Product Description, The Animals exploded onto the world stage in 1964 with their transatlantic #1 h",Two Against Nature,B00004GOXS,"CDs & Vinyl, Classic Rock, Album-Oriented Rock (AOR)","Product Description, The release of Two Against Nature is a major musical event. The two are Donald "
AETIQYG552CC2HCB5KRYKK4HO6WQ,Recommend songs for gym or workout with energetic rythm and fast speed,10,Doo - Wops & Hooligans,B003ZJ0ZX0,"CDs & Vinyl, Rap & Hip-Hop, Pop Rap",Doo-Wops & Hooligans - Bruno Mars,Meteora,B00008H2LB,"CDs & Vinyl, Indie & Alternative, Alternative Rock, American Alternative","Product Description, Meteora, the follow-up album of the new material to Linkin Park's phenomenal ei",Ridin' Dirty       Explicit Lyrics,B00000053Q,"CDs & Vinyl, Today's Deals in Music, Rap & Hip-Hop, Rap & Hip-Hop General, CDs $7 - $10","Hailing from Port Arthur, Texas, UGK are one of the pioneer ""Southern rap"" groups, exploding onto th",Earth Wind & Fire Greatest Hits,B00000FC5H,"CDs & Vinyl, R&B, Funk","Product Description, For the first time ever-all of their biggest hits on a single CD! Seven of thes",Cheek to Cheek,B00MU79IL8,"CDs & Vinyl, Universal Music Group",Deluxe edition includes three bonus tracks. The legendary Tony Bennett and superstar Lady Gaga met i,Oscd Ad Adele 21,B004EBT5CU,"CDs & Vinyl, Pop, Singer-Songwriters","21, is the eagerly awaited sophomore album from British singer-songwriter Adele. It’s the follow up ",In The Court Of Std,B00065MDRW,"CDs & Vinyl, Rock, Progressive, Progressive Rock",Remastered edition of King Crimson's seminal album IN THE COURT OF THE CRIMSON KING.,How I Do,B00005LB1H,"CDs & Vinyl, R&B, Soul","Product description, Res ~ How I Do, Amazon.com, A musical sorority sister of, Alicia Keys, and, Ang",A Kind Of Magic,B000000OAX,"CDs & Vinyl, Rock, Progressive, Progressive Rock",This album boasts an entire 63 weeks on the U.K charts!,The Sweet Escape       Explicit Lyrics,B000JJRIN4,"CDs & Vinyl, Pop, Adult Alternative","Product description, There's nothing like a Gwen Stefani disc to rip you from your pop comfort zone "
AE2MVXG6535JPWVNELHKUI3JB4SA,Recommend songs for gym or workout with energetic rythm and fast speed,10,Ultimate Manilow,B00005USBH,"CDs & Vinyl, Pop, Oldies, Traditional Pop","Ulimate Manilow, the greatest hits collection from the #1 Adult Contemporary artists of all time. Tr",A Rush of Blood to the Head,B000069AUI,"CDs & Vinyl, Indie & Alternative, Alternative Rock, British Alternative, Britpop","Product Description, 2002 sophomore album from the British Pop/Rockers led by singer, songwriter and",Sounds of Summer: Very Best of The Beach Boys,B000093BDX,"CDs & Vinyl, Pop, Oldies, Baroque Pop","Product Description, This the ultimate Beach Boys album. Thirty hits fa vorite songs, the most Beach",Stripped,B00006CXXU,"CDs & Vinyl, Pop, Adult Contemporary","Product Description, Features guest appearances by Eve, Redman, and Dave Navarro. Track production b",The Chronic Version       Explicit Lyrics,B00005AQEQ,"CDs & Vinyl, Rap & Hip-Hop, Gangsta & Hardcore",Excellent condition and playability.,Nothing Like The Sun,B000002GKZ,"CDs & Vinyl, Classic Rock, Album-Oriented Rock (AOR)","Product description, CD, Amazon.com, Sting's second and most conceptually dense solo album moved on ",In The Zone,B0000DD7LB,"CDs & Vinyl, Today's Deals in Music, Dance & DJ, Dance General, CDs $7 - $10","Product Description, Jive Recording artist Britney Spears is set to release her 4th album, In The Zo",Ultimate Hits: Rock And Roll Never Forgets,B0043URV5U,"CDs & Vinyl, Rock",ULTIMATE HITS: ROCK AND ROLL NEVER FORGETS features Bob Segers top hits newly remastered plus two ex,Lovers Rock,B000051VWW,"CDs & Vinyl, Today's Deals in Music, Pop, Adult Contemporary, CDs $7 - $10","Product description, Sade ~ Lovers Rock, Amazon.com, Sade's brand of elegant pop/R&B owned the chart",Two Against Nature,B00004GOXS,"CDs & Vinyl, Classic Rock, Album-Oriented Rock (AOR)","Product Description, The release of Two Against Nature is a major musical event. The two are Donald "
AFPCNVUXO5OEO2W6BYADTBOKIHMQ,Recommend songs for gym or workout with energetic rythm and fast speed,10,Hybrid Theory,B00004Z459,"CDs & Vinyl, Indie & Alternative, Alternative Rock, American Alternative",When the first track from a band's debut album gets added to major rock stations four weeks before i,His Best: The Chess 50th Anniversary Collection,B000005KQT,"CDs & Vinyl, Today's Deals in Music, Blues, Blues General, CDs $7 - $10","Product Description, Acknowledged by many as the greatest blues harmonica player ever, Little Walter",Confessions on a Dance Floor,B000B8QEZG,"CDs & Vinyl, Pop, Adult Contemporary","Product Description, On, Confessions of a Dance Floor, , Madonna, the most popular and significant f",The 7 Day Theory Explicit Version       Explicit Lyrics,B00005AQGH,"CDs & Vinyl, R&B, Funk",nan,Random Access Memories,B00C061I3K,"CDs & Vinyl, Dance & Electronic, Electronica","In their 20-year history, Daft Punk have redefined electronic music, pioneered the live dance concer",Illmatic       Explicit Lyrics,B0000029GA,"CDs & Vinyl, Today's Deals in Music, Rap & Hip-Hop, Rap & Hip-Hop General, CDs $7 - $10","Product description, No Description Available., Genre:, Rap, Hip-Hop, Media Format:, Compact Disk, R",The Very Best Of The Rolling Stones 1964-1971,B005MQNDVK,"CDs & Vinyl, Pop",This incredible 16-track compilation features some of the bands most memorable hits spanning the yea,We Are Not Alone       Explicit Lyrics,B0002A2VS2,"CDs & Vinyl, Indie & Alternative, Alternative Rock, American Alternative","This is the new album from Breaking Benjamin that features their first single ""So Cold.""",The Best of Anita Baker,B000066RM4,"CDs & Vinyl, R&B, Contemporary R&B",The Best of Anita Baker serves up 18 sensuously soulful songs released on the Beverly Glen and Ele k,Dark Side Of The Moon,B000002U82,"CDs & Vinyl, Rock, Progressive, Progressive Rock","Product description, DARK SIDE OF THE MOON was a benchmark record. It turned the musical world on it"
AF4DIVUTE35I4MXSYB3MA2MLEAIA,Recommend songs for gym or workout with energetic rythm and fast speed,10,Greatest Hits,B000002B30,"CDs & Vinyl, Classic Rock, Album-Oriented Rock (AOR)","1995 collection from the Rock icon, his first 'best of' collection. Features his best known hits as ",Sounds of Summer: Very Best of The Beach Boys,B000093BDX,"CDs & Vinyl, Pop, Oldies, Baroque Pop","Product Description, This the ultimate Beach Boys album. Thirty hits fa vorite songs, the most Beach",Confessions on a Dance Floor,B000B8QEZG,"CDs & Vinyl, Pop, Adult Contemporary","Product Description, On, Confessions of a Dance Floor, , Madonna, the most popular and significant f",Invincible,B00005Q4JH,"CDs & Vinyl, Pop, Adult Contemporary","The long anticipated new album Invincible on Octob er 30, Michael Jackson looks to continue his domi","So Far, So Good...So What!       Explicit Lyrics",B0002EXH4A,"CDs & Vinyl, Rock, Progressive, Progressive Metal","This re-issue features four previously unreleased tracks ""Into the Lungs of Hell (Paul Lani Mix),"" """,Oscd Ad Adele 21,B004EBT5CU,"CDs & Vinyl, Pop, Singer-Songwriters","21, is the eagerly awaited sophomore album from British singer-songwriter Adele. It’s the follow up ",Viva la Vida or Death and All His Friends,B000RPTQ1C,"CDs & Vinyl, Indie & Alternative, Alternative Rock, British Alternative","Product Description, Coldplay Photos, Amazon.com, To say there has been a lot of anticipation for Co",Dark Side Of The Moon,B000002U82,"CDs & Vinyl, Rock, Progressive, Progressive Rock","Product description, DARK SIDE OF THE MOON was a benchmark record. It turned the musical world on it",Forty Licks,B00006IR69,"CDs & Vinyl, Classic Rock, Album-Oriented Rock (AOR)","Product description, 2CD set. Digitally remastered! Career-spanning, 40-track compile of classics., ",Emancipation       Explicit Lyrics,B000002UJC,"CDs & Vinyl, Pop, Dance Pop","Product Description, Out of print in the U.S.! Prince's first album after leaving Warner Brothers. O"
AHCGME54IFEEEMLBE7RJKW7OHXYQ,Recommend songs for gym or workout with energetic rythm and fast speed,10,Hybrid Theory,B00004Z459,"CDs & Vinyl, Indie & Alternative, Alternative Rock, American Alternative",When the first track from a band's debut album gets added to major rock stations four weeks before i,Sounds of Summer: Very Best of The Beach Boys,B000093BDX,"CDs & Vinyl, Pop, Oldies, Baroque Pop","Product Description, This the ultimate Beach Boys album. Thirty hits fa vorite songs, the most Beach",Musicology,B0001XTRCI,"CDs & Vinyl, R&B, Funk","Product description, Carnivore ~ Musicology, Amazon.com, After a decade and a half of only making re",Oscd Ad Adele 21,B004EBT5CU,"CDs & Vinyl, Pop, Singer-Songwriters","21, is the eagerly awaited sophomore album from British singer-songwriter Adele. It’s the follow up ",Dark Side Of The Moon,B000002U82,"CDs & Vinyl, Rock, Progressive, Progressive Rock","Product description, DARK SIDE OF THE MOON was a benchmark record. It turned the musical world on it",A Rush of Blood to the Head,B000069AUI,"CDs & Vinyl, Indie & Alternative, Alternative Rock, British Alternative, Britpop","Product Description, 2002 sophomore album from the British Pop/Rockers led by singer, songwriter and",Enema Of The State       Explicit Lyrics,B00000IPAX,"CDs & Vinyl, Indie & Alternative, Hardcore & Punk, Punk",nan,Chicken N Beer       Explicit Lyrics,B0000AQS1A,"CDs & Vinyl, Rap & Hip-Hop, Pop Rap","Ludacris--2, Bill O'Reilly--1. The dis is mightier than the sword, and Ludacris wastes no time berat",Elvis 30 #1 Hits,B00006AG5N,"CDs & Vinyl, Rock, Oldies & Retro, Rockabilly",Mixed and mastered from the original master tape for optimum sound quality. The most superior and mo,Clockwork Angels,B007I2BZIE,"CDs & Vinyl, Rock, Progressive, Progressive Rock","Clockwork Angels, is, Rush's, 20th studio record and first in 5 years.  This complex concept album i"
AETQ73HI2ALIW6SRVT3QVROHVC7Q,Recommend songs for gym or workout with energetic rythm and fast speed,10,Meteora,B00008H2LB,"CDs & Vinyl, Indie & Alternative, Alternative Rock, American Alternative","Product Description, Meteora, the follow-up album of the new material to Linkin Park's phenomenal ei",Greatest Hits,B000002B30,"CDs & Vinyl, Classic Rock, Album-Oriented Rock (AOR)","1995 collection from the Rock icon, his first 'best of' collection. Features his best known hits as ",Oscd Ad Adele 21,B004EBT5CU,"CDs & Vinyl, Pop, Singer-Songwriters","21, is the eagerly awaited sophomore album from British singer-songwriter Adele. It’s the follow up ",The Beatles 1,B00004ZAV3,"CDs & Vinyl, Classic Rock, Album-Oriented Rock (AOR)","Product description, Tracks1. Love Me Do2. From Me To You3. She Loves You4. I Want To Hold Your Hand",Clockwork Angels,B007I2BZIE,"CDs & Vinyl, Rock, Progressive, Progressive Rock","Clockwork Angels, is, Rush's, 20th studio record and first in 5 years.  This complex concept album i",Dark Side Of The Moon,B000002U82,"CDs & Vinyl, Rock, Progressive, Progressive Rock","Product description, DARK SIDE OF THE MOON was a benchmark record. It turned the musical world on it",Forty Licks,B00006IR69,"CDs & Vinyl, Classic Rock, Album-Oriented Rock (AOR)","Product description, 2CD set. Digitally remastered! Career-spanning, 40-track compile of classics., ",Blackstar,B017VORJK6,"CDs & Vinyl, Rock",nan,Lynyrd Skynyrd - All Time Greatest Hits,B00004RCW1,"CDs & Vinyl, Classic Rock, Album-Oriented Rock (AOR)",Over 70 minutes of their greatest hits digitally remastered with photos and lengthy essay. Track inc,Hybrid Theory,B00004Z459,"CDs & Vinyl, Indie & Alternative, Alternative Rock, American Alternative",When the first track from a band's debut album gets added to major rock stations four weeks before i
AFSIJMA6DADL43C54JIDUINXHWWA,Recommend songs for gym or workout with energetic rythm and fast speed,10,Get Born,B0000AQVCL,"CDs & Vinyl, Indie & Alternative, Hardcore & Punk, Garage Punk","Product Description, Your rock & roll ship has come in. Or, more rightly, your Jet has landed. This ",The Most Relaxing Classical Music in the Universe,B00008RH16,"CDs & Vinyl, Classical, Forms & Genres, Sonatas, Sonatinas",Prepare to drift away on the soothing sound of the eternal classics collected on this 2-CD set.,Sounds of Summer: Very Best of The Beach Boys,B000093BDX,"CDs & Vinyl, Pop, Oldies, Baroque Pop","Product Description, This the ultimate Beach Boys album. Thirty hits fa vorite songs, the most Beach",Encore       Explicit Lyrics,B00065XJ52,"CDs & Vinyl, Rap & Hip-Hop, Gangsta & Hardcore","ENCORE is the new album from Eminem that includes the hot smash singles ""Just Lose It.""",Emotional Rescue,B000000W5J,"CDs & Vinyl, Classic Rock, Album-Oriented Rock (AOR)",All our books are brand new. We ship worldwide,The Breakthrough,B000BNTM32,"CDs & Vinyl, R&B, Contemporary R&B","Product description, No One Will Do About You Father In You 16 Total Tracks, Amazon.com, Nobody know",Illmatic       Explicit Lyrics,B0000029GA,"CDs & Vinyl, Today's Deals in Music, Rap & Hip-Hop, Rap & Hip-Hop General, CDs $7 - $10","Product description, No Description Available., Genre:, Rap, Hip-Hop, Media Format:, Compact Disk, R",Dark Side Of The Moon,B000002U82,"CDs & Vinyl, Rock, Progressive, Progressive Rock","Product description, DARK SIDE OF THE MOON was a benchmark record. It turned the musical world on it",Give Me the Night,B000002KLG,"CDs & Vinyl, Jazz, Smooth Jazz",CD - EAN 075992740623,Viva la Vida or Death and All His Friends,B000RPTQ1C,"CDs & Vinyl, Indie & Alternative, Alternative Rock, British Alternative","Product Description, Coldplay Photos, Amazon.com, To say there has been a lot of anticipation for Co"
AGHNTMQMULMVOJGT33PS5XYLAZSA,Recommend songs for gym or workout with energetic rythm and fast speed,10,Meteora,B00008H2LB,"CDs & Vinyl, Indie & Alternative, Alternative Rock, American Alternative","Product Description, Meteora, the follow-up album of the new material to Linkin Park's phenomenal ei",Confessions on a Dance Floor,B000B8QEZG,"CDs & Vinyl, Pop, Adult Contemporary","Product Description, On, Confessions of a Dance Floor, , Madonna, the most popular and significant f",Ultimate Hits: Rock And Roll Never Forgets,B0043URV5U,"CDs & Vinyl, Rock",ULTIMATE HITS: ROCK AND ROLL NEVER FORGETS features Bob Segers top hits newly remastered plus two ex,Blackstar,B017VORJK6,"CDs & Vinyl, Rock",nan,Illmatic       Explicit Lyrics,B0000029GA,"CDs & Vinyl, Today's Deals in Music, Rap & Hip-Hop, Rap & Hip-Hop General, CDs $7 - $10","Product description, No Description Available., Genre:, Rap, Hip-Hop, Media Format:, Compact Disk, R",Oscd Ad Adele 21,B004EBT5CU,"CDs & Vinyl, Pop, Singer-Songwriters","21, is the eagerly awaited sophomore album from British singer-songwriter Adele. It’s the follow up ","So Far, So Good...So What!       Explicit Lyrics",B0002EXH4A,"CDs & Vinyl, Rock, Progressive, Progressive Metal","This re-issue features four previously unreleased tracks ""Into the Lungs of Hell (Paul Lani Mix),"" """,Dark Side Of The Moon,B000002U82,"CDs & Vinyl, Rock, Progressive, Progressive Rock","Product description, DARK SIDE OF THE MOON was a benchmark record. It turned the musical world on it",Viva la Vida or Death and All His Friends,B000RPTQ1C,"CDs & Vinyl, Indie & Alternative, Alternative Rock, British Alternative","Product Description, Coldplay Photos, Amazon.com, To say there has been a lot of anticipation for Co",Best of The Animals,B000003BDD,"CDs & Vinyl, Classic Rock, British Invasion","Product Description, The Animals exploded onto the world stage in 1964 with their transatlantic #1 h"
