Metric,Value,Query,Timestamp,Users_Evaluated
Precision@10,0.264,Recommend songs for gym or workout with energetic rythm and fast speed,2026-05-12 23:54:54,50
HitRate@10,0.98,Recommend songs for gym or workout with energetic rythm and fast speed,2026-05-12 23:54:54,50
AvgSemanticSimilarity,0.22139248017842608,Recommend songs for gym or workout with energetic rythm and fast speed,2026-05-12 23:54:54,50
MAP@10,0.727818253968254,Recommend songs for gym or workout with energetic rythm and fast speed,2026-05-12 23:54:54,50
MRR@10,0.8613888888888889,Recommend songs for gym or workout with energetic rythm and fast speed,2026-05-12 23:54:54,50
NDCG@10,0.8264904982775038,Recommend songs for gym or workout with energetic rythm and fast speed,2026-05-12 23:54:54,50
CategoryCoverage,1.89,Recommend songs for gym or workout with energetic rythm and fast speed,2026-05-12 23:54:54,50
UniqueCategories,18.9,Recommend songs for gym or workout with energetic rythm and fast speed,2026-05-12 23:54:54,50
Entropy,4.10115363756839,Recommend songs for gym or workout with energetic rythm and fast speed,2026-05-12 23:54:54,50
GiniIndex,0.9348155261979347,Recommend songs for gym or workout with energetic rythm and fast speed,2026-05-12 23:54:54,50
IntraListSimilarity,0.5318105135971357,Recommend songs for gym or workout with energetic rythm and fast speed,2026-05-12 23:54:54,50
Novelty,0.8612376993756756,Recommend songs for gym or workout with energetic rythm and fast speed,2026-05-12 23:54:54,50
Serendipity,0.4035032107806403,Recommend songs for gym or workout with energetic rythm and fast speed,2026-05-12 23:54:54,50
